month,connected-tv,desktop,mobile-app,mobile-web,set-top,tablet-app,tablet-web,unknown
2019-11-01,14152.26053115,317995.23960915016,281077.94484615006,297535.86082304997,42030.143132699995,59547.233483700045,20375.625859199998,29.905652100000008
2019-12-01,11742.125308650006,361141.2312337497,293724.34986900014,327001.9612540498,51114.55602839997,80661.86515125001,22035.72885105,26.155726499999993
2020-01-01,13688.692322550003,171870.9728517,141247.77905385,231073.66663485,36472.19878215001,55689.06506805,16729.598153999996,7.6821388499999985
2020-02-01,25302.058448399992,230017.4811861,208775.72628465013,281655.96709409996,57713.05999605,56889.52423259997,18413.82812445,19.88207655
2020-03-01,24487.076459999997,252067.24448999995,171838.08671999993,306412.98700499994,50526.86353500001,74161.96141500001,20393.673195000003,7.807215
2020-04-01,19283.564085,173723.31814499994,121951.95281999993,228753.80902500005,38976.82836,55381.82925000001,13228.636785,4.3641299999999985
2020-05-01,32931.850679999996,188663.2785149999,155101.27930500003,278600.06067,49518.849374999976,66968.69023500005,16958.73198,5.04459
2020-06-01,57294.93465,247747.79812499994,263570.3410649999,400724.0665350002,59771.87439,108277.38625499993,23781.0363,7.124550000000002
2020-07-01,92938.51982999999,281489.05964999995,250373.87919000004,399925.45339500014,69416.77018499997,122247.68983499995,27688.05534000001,4.073325
2020-08-01,90300.20832000003,335606.563935,324739.71259500005,402933.4434599998,101967.7962,114215.27512500004,27706.456995000004,7.608644999999997
2020-09-01,184551.42298500004,611906.9689199998,518727.9876,559026.8576099998,152228.65388999996,132658.25683499992,40800.58741500001,28.774364999999996
2020-10-01,298955.51698500017,801348.5416350001,619440.088305,717463.8253949998,139744.90422000008,186264.136455,48520.004174999965,110.90414999999996
